order_id,user_id,product_id,quantity,status,payment
1,502,214,3,Delivered,COD
2,868,391,2,Pending,EasyPaisa
3,746,481,2,Pending,EasyPaisa
4,53,306,3,Delivered,Card
5,27,273,3,Pending,Card
6,192,190,2,Delivered,EasyPaisa
7,39,118,2,Pending,Card
8,382,478,1,Pending,JazzCash
9,178,314,2,Delivered,COD
10,111,50,2,Pending,EasyPaisa
11,980,209,1,Cancelled,COD
12,770,146,2,Delivered,Card
13,215,39,2,Cancelled,EasyPaisa
14,975,364,3,Delivered,Card
15,296,173,2,Pending,EasyPaisa
16,549,460,1,Pending,Card
17,304,360,3,Cancelled,Card
18,926,216,1,Cancelled,JazzCash
19,560,200,3,Delivered,EasyPaisa
20,715,254,2,Delivered,COD
21,282,196,3,Pending,JazzCash
22,511,130,1,Delivered,EasyPaisa
23,579,377,1,Delivered,COD
24,940,286,2,Delivered,JazzCash
25,445,493,1,Delivered,JazzCash
26,662,184,3,Delivered,JazzCash
27,978,279,1,Delivered,EasyPaisa
28,888,362,1,Delivered,JazzCash
29,389,254,1,Pending,COD
30,160,177,3,Pending,COD
31,201,348,2,Cancelled,EasyPaisa
32,626,257,3,Pending,EasyPaisa
33,979,157,1,Cancelled,Card
34,814,436,2,Cancelled,EasyPaisa
35,58,242,1,Cancelled,EasyPaisa
36,59,66,3,Delivered,EasyPaisa
37,566,396,1,Delivered,EasyPaisa
38,964,298,2,Pending,JazzCash
39,28,372,3,Cancelled,COD
40,142,157,3,Pending,JazzCash
41,235,322,1,Delivered,EasyPaisa
42,669,419,3,Delivered,JazzCash
43,484,396,1,Delivered,Card
44,266,451,1,Pending,Card
45,743,9,2,Pending,COD
46,154,54,2,Pending,EasyPaisa
47,336,103,2,Delivered,EasyPaisa
48,543,233,3,Pending,EasyPaisa
49,763,272,3,Pending,JazzCash
50,449,234,2,Pending,EasyPaisa
51,813,425,2,Cancelled,EasyPaisa
52,180,403,3,Pending,EasyPaisa
53,931,185,3,Pending,EasyPaisa
54,284,483,2,Cancelled,COD
55,557,218,2,Cancelled,COD
56,131,271,1,Pending,JazzCash
57,380,170,3,Cancelled,COD
58,776,229,1,Cancelled,EasyPaisa
59,860,198,3,Cancelled,EasyPaisa
60,4,189,1,Cancelled,JazzCash
61,811,304,2,Cancelled,COD
62,182,210,3,Pending,EasyPaisa
63,595,52,3,Cancelled,EasyPaisa
64,597,102,2,Pending,EasyPaisa
65,772,236,2,Cancelled,Card
66,269,50,2,Cancelled,Card
67,425,447,2,Delivered,Card
68,552,153,3,Delivered,COD
69,982,330,3,Delivered,Card
70,351,225,2,Cancelled,Card
71,201,376,1,Delivered,COD
72,563,80,1,Delivered,EasyPaisa
73,41,379,2,Pending,Card
74,448,388,3,Cancelled,COD
75,562,4,1,Delivered,COD
76,80,145,3,Pending,JazzCash
77,382,102,3,Delivered,Card
78,992,449,3,Pending,COD
79,76,139,3,Delivered,JazzCash
80,811,265,3,Delivered,COD
81,64,410,1,Pending,Card
82,107,210,3,Delivered,EasyPaisa
83,390,20,1,Delivered,JazzCash
84,364,289,2,Cancelled,COD
85,350,465,3,Pending,Card
86,890,303,3,Cancelled,EasyPaisa
87,556,68,1,Pending,EasyPaisa
88,555,371,2,Pending,EasyPaisa
89,200,67,3,Pending,JazzCash
90,683,282,2,Cancelled,Card
91,50,467,3,Pending,COD
92,393,454,1,Pending,JazzCash
93,310,84,2,Cancelled,JazzCash
94,723,220,3,Delivered,JazzCash
95,159,439,3,Cancelled,COD
96,432,290,3,Cancelled,Card
97,546,195,2,Cancelled,Card
98,389,203,3,Delivered,JazzCash
99,728,433,1,Delivered,JazzCash
100,358,227,1,Delivered,Card
101,232,2,1,Pending,JazzCash
102,274,432,1,Cancelled,EasyPaisa
103,441,472,1,Cancelled,Card
104,998,369,2,Cancelled,JazzCash
105,717,434,2,Delivered,JazzCash
106,812,154,3,Cancelled,Card
107,5,448,3,Cancelled,Card
108,726,265,3,Delivered,JazzCash
109,958,293,2,Delivered,EasyPaisa
110,208,57,3,Cancelled,JazzCash
111,106,137,2,Delivered,JazzCash
112,189,367,3,Delivered,Card
113,902,301,3,Delivered,Card
114,593,454,2,Pending,JazzCash
115,205,378,3,Pending,Card
116,388,409,3,Pending,COD
117,573,303,1,Cancelled,EasyPaisa
118,677,145,3,Pending,EasyPaisa
119,537,392,3,Pending,EasyPaisa
120,290,132,3,Cancelled,EasyPaisa
121,74,210,3,Cancelled,COD
122,767,462,3,Delivered,JazzCash
123,24,351,1,Pending,EasyPaisa
124,717,144,3,Delivered,Card
125,265,260,1,Delivered,COD
126,34,456,2,Delivered,Card
127,3,252,3,Delivered,JazzCash
128,404,153,1,Pending,JazzCash
129,711,72,2,Delivered,Card
130,654,500,1,Cancelled,EasyPaisa
131,330,318,3,Cancelled,COD
132,969,248,3,Cancelled,Card
133,491,26,3,Delivered,COD
134,757,452,2,Cancelled,Card
135,386,297,1,Delivered,Card
136,425,430,1,Delivered,Card
137,45,311,1,Pending,JazzCash
138,858,7,3,Pending,JazzCash
139,558,57,1,Delivered,EasyPaisa
140,774,491,2,Pending,EasyPaisa
141,565,163,2,Delivered,COD
142,372,412,2,Delivered,Card
143,881,57,1,Delivered,Card
144,353,398,1,Delivered,JazzCash
145,293,10,3,Delivered,Card
146,350,147,2,Delivered,COD
147,345,155,2,Cancelled,JazzCash
148,428,103,3,Cancelled,JazzCash
149,806,43,1,Cancelled,COD
150,603,122,1,Cancelled,Card
151,164,393,2,Pending,EasyPaisa
152,989,300,3,Cancelled,COD
153,13,373,3,Pending,COD
154,489,381,1,Pending,Card
155,46,489,1,Delivered,COD
156,117,391,3,Cancelled,COD
157,737,267,2,Cancelled,Card
158,757,202,3,Pending,EasyPaisa
159,759,255,2,Cancelled,EasyPaisa
160,60,72,1,Pending,Card
161,693,183,3,Delivered,COD
162,32,323,2,Pending,COD
163,102,458,3,Delivered,COD
164,821,235,3,Pending,EasyPaisa
165,484,421,2,Delivered,JazzCash
166,690,344,2,Delivered,COD
167,914,29,1,Delivered,JazzCash
168,275,3,1,Delivered,COD
169,297,191,1,Delivered,JazzCash
170,256,157,2,Delivered,EasyPaisa
171,38,491,1,Cancelled,EasyPaisa
172,747,167,2,Cancelled,Card
173,545,451,3,Cancelled,Card
174,11,353,3,Pending,EasyPaisa
175,711,452,3,Delivered,EasyPaisa
176,659,338,3,Cancelled,JazzCash
177,410,120,1,Pending,EasyPaisa
178,524,483,1,Cancelled,JazzCash
179,26,188,3,Delivered,EasyPaisa
180,320,3,2,Delivered,EasyPaisa
181,834,331,2,Cancelled,EasyPaisa
182,37,151,3,Delivered,Card
183,714,105,1,Delivered,JazzCash
184,220,44,2,Delivered,Card
185,246,462,3,Cancelled,Card
186,268,136,3,Pending,COD
187,976,194,2,Pending,COD
188,785,379,2,Delivered,JazzCash
189,853,126,3,Cancelled,EasyPaisa
190,886,301,2,Cancelled,COD
191,916,297,2,Cancelled,JazzCash
192,526,380,1,Delivered,Card
193,821,74,3,Pending,EasyPaisa
194,347,88,3,Pending,EasyPaisa
195,229,157,1,Cancelled,EasyPaisa
196,182,455,3,Cancelled,JazzCash
197,476,396,1,Delivered,EasyPaisa
198,679,400,2,Delivered,COD
199,245,192,3,Pending,JazzCash
200,71,435,3,Pending,Card
201,189,40,1,Cancelled,Card
202,32,303,3,Pending,EasyPaisa
203,948,26,3,Delivered,EasyPaisa
204,812,468,2,Pending,JazzCash
205,655,345,1,Delivered,JazzCash
206,311,114,1,Cancelled,COD
207,466,453,3,Delivered,COD
208,411,340,2,Delivered,JazzCash
209,846,387,2,Delivered,EasyPaisa
210,801,392,3,Delivered,EasyPaisa
211,674,79,3,Delivered,JazzCash
212,889,104,3,Pending,JazzCash
213,864,391,3,Delivered,EasyPaisa
214,241,486,3,Delivered,COD
215,489,462,3,Delivered,COD
216,330,80,2,Delivered,EasyPaisa
217,571,370,1,Pending,JazzCash
218,791,457,1,Pending,JazzCash
219,78,210,1,Cancelled,COD
220,399,199,3,Pending,JazzCash
221,26,112,1,Pending,EasyPaisa
222,29,188,1,Pending,Card
223,85,446,1,Delivered,JazzCash
224,504,102,2,Pending,COD
225,750,468,1,Delivered,EasyPaisa
226,226,225,3,Delivered,Card
227,901,136,2,Pending,EasyPaisa
228,439,480,2,Pending,Card
229,833,229,1,Delivered,JazzCash
230,452,86,2,Cancelled,EasyPaisa
231,437,3,1,Cancelled,EasyPaisa
232,890,47,3,Pending,EasyPaisa
233,989,498,3,Pending,EasyPaisa
234,168,498,2,Cancelled,COD
235,60,349,2,Cancelled,COD
236,128,333,3,Cancelled,COD
237,621,192,3,Delivered,Card
238,572,47,2,Pending,Card
239,221,454,3,Delivered,Card
240,749,358,2,Cancelled,JazzCash
241,650,235,1,Delivered,COD
242,820,425,2,Cancelled,JazzCash
243,560,133,1,Pending,EasyPaisa
244,539,280,2,Cancelled,EasyPaisa
245,999,62,1,Delivered,Card
246,284,5,1,Cancelled,COD
247,737,216,3,Pending,COD
248,154,427,1,Pending,JazzCash
249,398,291,2,Cancelled,JazzCash
250,973,112,3,Delivered,JazzCash
251,308,116,2,Delivered,COD
252,584,26,2,Pending,COD
253,232,67,3,Delivered,COD
254,852,363,1,Delivered,Card
255,880,23,1,Cancelled,Card
256,720,59,3,Cancelled,JazzCash
257,962,33,3,Delivered,Card
258,350,449,3,Pending,JazzCash
259,957,358,3,Delivered,EasyPaisa
260,363,288,1,Pending,COD
261,346,249,2,Delivered,COD
262,190,174,1,Cancelled,EasyPaisa
263,5,460,3,Cancelled,EasyPaisa
264,917,157,3,Cancelled,EasyPaisa
265,163,20,2,Cancelled,Card
266,714,246,3,Cancelled,JazzCash
267,729,102,1,Delivered,JazzCash
268,199,320,1,Pending,Card
269,314,277,2,Pending,EasyPaisa
270,47,251,1,Pending,COD
271,505,147,2,Cancelled,EasyPaisa
272,654,125,1,Pending,JazzCash
273,902,101,2,Cancelled,JazzCash
274,308,5,1,Pending,COD
275,222,264,1,Pending,JazzCash
276,587,147,3,Cancelled,EasyPaisa
277,304,43,2,Pending,EasyPaisa
278,850,401,3,Cancelled,EasyPaisa
279,912,492,1,Delivered,JazzCash
280,394,130,2,Pending,JazzCash
281,968,247,1,Delivered,EasyPaisa
282,555,46,2,Delivered,COD
283,2,374,1,Delivered,COD
284,242,341,3,Cancelled,Card
285,170,284,3,Delivered,EasyPaisa
286,76,377,3,Delivered,COD
287,793,491,3,Pending,JazzCash
288,128,351,1,Delivered,EasyPaisa
289,583,255,3,Delivered,COD
290,257,432,1,Delivered,Card
291,546,442,3,Cancelled,COD
292,492,237,2,Delivered,COD
293,844,460,2,Pending,EasyPaisa
294,439,359,1,Cancelled,JazzCash
295,581,191,1,Pending,JazzCash
296,604,117,1,Cancelled,EasyPaisa
297,448,173,3,Delivered,JazzCash
298,585,278,1,Delivered,JazzCash
299,316,88,3,Pending,EasyPaisa
300,923,474,3,Cancelled,JazzCash
301,970,213,3,Pending,EasyPaisa
302,511,220,2,Delivered,EasyPaisa
303,145,429,3,Pending,Card
304,756,105,1,Delivered,COD
305,964,418,1,Delivered,COD
306,982,65,1,Pending,EasyPaisa
307,157,408,3,Delivered,JazzCash
308,5,396,1,Pending,Card
309,209,207,2,Delivered,EasyPaisa
310,634,192,2,Delivered,JazzCash
311,706,486,1,Delivered,COD
312,180,109,2,Cancelled,Card
313,606,254,2,Delivered,Card
314,364,407,1,Cancelled,COD
315,562,39,2,Delivered,JazzCash
316,191,245,3,Delivered,COD
317,745,290,2,Delivered,JazzCash
318,811,306,3,Pending,JazzCash
319,263,302,2,Cancelled,EasyPaisa
320,418,65,2,Pending,Card
321,403,400,2,Pending,Card
322,214,211,1,Cancelled,COD
323,219,397,3,Pending,COD
324,111,289,1,Delivered,Card
325,161,397,1,Pending,Card
326,102,341,2,Delivered,JazzCash
327,233,228,3,Cancelled,JazzCash
328,304,409,2,Cancelled,JazzCash
329,107,45,2,Pending,COD
330,629,41,2,Delivered,Card
331,909,393,3,Delivered,COD
332,14,204,3,Cancelled,EasyPaisa
333,60,464,2,Cancelled,COD
334,629,74,2,Delivered,JazzCash
335,135,305,3,Cancelled,EasyPaisa
336,925,404,1,Pending,COD
337,134,106,3,Delivered,EasyPaisa
338,535,401,2,Cancelled,COD
